4542,5736
4546,259
4548,3655
4550,5129
4552,2377
4556,2670
4559,2930
4565,5579
4566,11727
4570,410
4571,22
4572,13869
4574,9153
4576,3532
4584,9444
4585,10218
4588,27530
4591,5602
4593,2426
4596,7050
4599,82
4600,1475
4601,157
4603,6708
4604,37378
4606,3704
4609,4628
4610,3311
4612,131
4613,9803
4614,10420
4615,7046
4616,3732
4627,7612
4632,85
4634,3282
4636,10951
4637,2044
4642,7815
4647,9382
4648,4083
4649,24437
4651,392
4652,428
4653,2650
4655,6789
4656,3598
4657,325
4663,4828
4665,12
4666,781
4667,1052
4670,1485
4674,776
4675,5914
4676,187
4678,9204
4679,6611
4680,769
4681,16371
4683,2014
4686,19255
4687,7242
4688,20379
4689,15145
4691,5092
4695,9603
4696,63
4697,30704
4698,8154
4699,3220
4700,1041
4701,7570
4703,7012
4707,9032
4708,4386
4710,4
4712,5967
4714,47
4715,8018
4716,10481
4717,3567
4720,580
4721,3935
4722,3870
4723,801
4724,20
4725,3808
4727,3021
4728,24834
4732,14495
4733,6503
4735,11782
4736,8182
4737,5311
4738,24651
4741,3554
4742,5212
4743,10372
4744,5924
4745,7498
4746,13391
4747,5124
4748,2486
4749,11546
4750,13341
4754,7827
4755,8673
4756,423
4759,13118
4763,15011
4765,286
4768,9274
4770,450
4772,6018
4775,2988
4776,2920
4778,3910
4782,13573
4783,3914
4785,101
4787,14701
4789,10667
4793,25517
4796,181
4797,9252
4802,1677
4803,3091
4804,4
4805,11187
4807,13977
4808,8666
4810,6498
4814,3710
4816,29430
4817,2088
4819,7751
4823,6687
4826,884
4829,9589
4833,2036
4834,1123
4835,8272
4836,3393
4838,1634
4840,6639
4841,3900
4845,17149
4846,2562
4852,14082
4853,4441
4855,2109
4856,7828
4859,3573
4860,15374
4861,6048
4862,1617
4866,8537
4867,11246
4872,4783
4874,9487
4876,16448
4877,11777
4880,2279
4882,461
4883,46
4884,2675
4885,849
4886,4179
4887,8533
4888,7228
4889,1037
4890,578
4892,7296
4895,9413
4896,606
4897,1743
4898,5302
4899,4850
4901,7612
4902,14077
4903,485
4907,6320
4912,10706
4915,3790
4916,724
4918,5825
4919,12487
4920,4800
4924,4951
4926,4884
4931,3663
4934,15930
4938,5794
4939,157
4944,2620
4945,8705
4948,312
4949,16624
4952,7
4953,7106
4954,2571
4955,8764
4956,7223
4957,16487
4958,4232
4959,4246
4960,7987
4964,3374
4966,6377
4967,3539
4970,30870
4972,3608
4974,5086
4977,352
4980,4891
4983,13620
4985,1737
4987,2498
4988,7861
4992,12430
4994,5659
4996,1211
4998,10
4999,1143
5003,13650
5004,5036
5006,277
5007,10396
5010,3276
5011,5004
5012,15478
5015,45
5018,1133
5019,6283
5021,5352
5022,34850
5023,1718
5025,7843
5026,3520
5027,5799
5028,12219
5029,10259
5031,3805
5032,8
5033,8854
5034,3970
5035,5773
5036,15907
5039,7949
5040,4985
5041,4686
5043,14311
5044,8776
5046,8408
5049,2988
5050,14379
5052,5557
5054,14600
5057,11581
5058,5662
5061,9598
5062,6307
5063,20431
5064,4162
5065,645
5067,7250
5069,19990
5072,6759
5074,12567
5075,23615
5077,12285
5078,825
5079,3415
5080,10801
5081,8324
5082,1755
5083,35
5084,24139
5088,8910
5089,8023
5090,319
5091,21
5092,1482
5093,7584
